Daily counts of chum below counting fence. | neutral | 0.6996630430221558
Snorkel survey conducted 2015-10-17. Poor survey coverage, only one survey in 2015. The water conditions were slightly turbid and the water level was above normal; however, the fish visibility and overall reliability of the survey was recorded as high. The "Expanded PL+D" was used as the escapement estimate. | negative | 0.6750695705413818
Snorkel surveys Oct 4, 14, and Nov 6. | neutral | 0.9113773703575134
Snorkel surveys conducted 2014-10-05; 2014-11-14 &2014-12-04. Heavy rains in mid to late October created poor survey conditions. Survey crews were unable to conduct surveys due to high water levels and dangerous river conditions. Poor survey coverage and conditions. The Expanded PL+D was selected for the escapement estimate. | negative | 0.8697831630706787
Expanded PL+D used for escapement estimate. Poor survey coverage, only one survey late in the survey season. | negative | 0.8813772797584534
Snorkel surveys conducted Sep 20, 29, Oct 28, Nov 21. PL+D. Surveys for Draw Creek included with Maggie River counts. | neutral | 0.9558057188987732
Snorkel surveys conducted 2017-09-06; 2017-09-20; 2017-09-26; 2017-10-06; 2017-10-12; 2017-10-30 & 2017-12-06. The survey conducted on 2017-12-06 was excluded from the AUC calculation because it was a late zero count. The Expanded PL+D was used as the escapement estimate. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2017 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | neutral | 0.9132571816444397
BC16 completed by Richard Smith with the Thornton Creek Enhancement Society. Estimates reviewed by WCVI Escapement Co-ordinator Seaton Taylor. Only 1 survey conducted this year in October. Chum was the target species, no sockeye observed. | neutral | 0.9175179600715637
Bamk walks conducted Oct 20 and Nov 15. | neutral | 0.923041045665741
Bank walk survey conducted 2013-10-06. Poor survey coverage, only one survey done in 2013 and it was a little early for chum. The expanded PL+D was used as the escapement estimate. | negative | 0.8120661377906799
Surveyed by Gord Bainbridge. Peak of 2475 observed on Oct 29. | neutral | 0.9404218196868896
Snorkel surveys conducted 2017-09-22; 2017-09-26; 2017-10-23 & 2017-10-30. Poor survey timing for pinks, only two were seen on the first survey so Adult Present has been entered as the escapement estimate. For additional information see the Canadian Data Report of Fisheries and Aquatic Sciences: 2017 West Coast of Vancouver Island Salmon Extensive Escapement Stream Summary. | negative | 0.5838506817817688
Snorkel survey conducted 2015-10-17. Poor survey coverage, only one survey in 2015. The water conditions were slightly turbid and the water level was above normal; however, the fish visibility and overall reliability of the survey was recorded as high. A sockeye jack was observed so "Adults Present" was entered as the escapement estimate. | negative | 0.6020668148994446
No native fisheries occured on Washlawlis Creek stocks. FW regulations allowed 1 coho retention. Effort primarily in estuary tidal pool. 1 set to obtain all brood required (50 pairs). Coho had numerous early season (end of August throughout September)high water events to migrate in-river. Traditionally estimate population by estuary prsence/showing. | neutral | 0.9194783568382263
Person Preparing Report: Willem Buitendyk, CPV Field Crew: Willem Buitendyk % of Spawning Habitat Surveyed: 80% Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Native fishing off mouth of Alteo. | neutral | 0.9462546706199646
Escapement estimate from Pulsar resistivity counter installed in Great Central Lake Fishway. Counts adjusted based on: calibrations conducted twice weekly biosamples conducted weekly Sockeye escapement numbers for the Somass System provided by DFO Stock Assessment Biologist Diana Dobson. Sockeye estimate for the entire Somass System = Sproat Lake (the count through Sproat Lake - May to end of Oct.) + Great Central Lake (the count through GCL - May to end of Aug. plus the Stamp Falls Fishway Count - Sept to end of Oct.). | neutral | 0.9382431507110596
One survey on 09/30. First survey in Ououkinsh River in several years and minimal historical data available. | neutral | 0.8855693340301514
Snorkel survey 2011-10-28, poor survey conditions. 20% of population observed and 18% observer efficiency so unexpanded LD+D used. | negative | 0.842688262462616
Surveyed by Gord Bainbridge, Charter Patrol. First survey was peak observed. This AUC estimate should be considered an index. | neutral | 0.9253084659576416
Person Preparing Report: Rick Ferguson, StAD (250) 756-7006 Supplementary Docs: Yes Other Comments (May relate to several species): (5) General Comments on Escapement Estimation: Detailed information for each inspection available from Stock Assessment Division. Unusual numbers of jacks: Proportion of chinook jacks = 56%. (22) List Supplementary Documentation: BC16 originally prepared by Bruce A. Patten, StAD; reviewed by Rick Ferguson April 2000. | neutral | 0.9363405704498291
